galaxy,n_rotmod_points,radius_min_kpc,radius_max_kpc,vobs_min_kms,vobs_max_kms,vobs_last_kms,errv_median_kms,v_baryon_050_last_kms,distance_mpc_from_rotmod_header,source_file,hubble_type_T,distance_mpc,distance_error_mpc,distance_method_flag,inclination_deg,inclination_error_deg,luminosity_36_1e9_lsun,luminosity_36_error_1e9_lsun,reff_kpc,sbeff_lsun_pc2,rdisk_kpc,sbdisk0_lsun_pc2,mhi_1e9_msun,rhi_kpc,vflat_kms,vflat_error_kms,quality_Q,rotation_curve_ref,has_master_row,rotation_curve_data_ready,fast_packet_role,source_url,secondary_source_url,claim_boundary
NGC3726,12,3.5,32.52,102.0,169.0,167.0,4.9,80.46670460507252,18.0,data/external/sparc/rotmod_ltg/NGC3726_rotmod.dat,5,18.0,2.5,4,53.0,2.0,70.234,0.388,7.52,198.08,3.4,1789.91,6.473,22.2,168.0,6.2,2,"VS01,SV98",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
NGC3741,21,0.23,7.0,13.1,51.6,51.6,2.21,13.657430212159241,3.21,data/external/sparc/rotmod_ltg/NGC3741_rotmod.dat,10,3.21,0.17,2,70.0,4.0,0.028,0.001,0.32,42.94,0.2,143.49,0.182,4.2,50.1,2.1,1,"Ge07,Bm05",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
NGC3769,12,1.74,37.16,87.5,126.0,113.0,6.75,45.7104599626825,18.0,data/external/sparc/rotmod_ltg/NGC3769_rotmod.dat,3,18.0,2.5,4,70.0,2.0,18.679,0.189,2.18,626.37,3.38,160.26,5.529,22.57,118.6,8.4,2,"VS01,SV98",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
NGC3877,13,0.87,11.35,37.8,171.0,169.0,5.7,137.54784494858507,18.0,data/external/sparc/rotmod_ltg/NGC3877_rotmod.dat,5,18.0,2.5,4,76.0,1.0,72.535,0.401,4.39,598.18,2.53,3410.59,1.483,11.47,168.4,5.1,2,"VS01,SV98",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
NGC3893,10,1.74,19.05,145.0,194.0,167.0,6.9,95.38021335685929,18.0,data/external/sparc/rotmod_ltg/NGC3893_rotmod.dat,5,18.0,2.5,4,49.0,2.0,58.525,0.377,2.43,1573.37,2.38,2055.09,5.799,20.84,174.0,8.9,1,"VS01,SV98",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
NGC3917,17,0.87,14.86,24.3,138.0,137.0,3.9,70.11502192825728,18.0,data/external/sparc/rotmod_ltg/NGC3917_rotmod.dat,6,18.0,2.5,4,79.0,2.0,21.966,0.202,5.56,112.94,2.63,1226.96,1.888,14.08,135.9,4.1,1,"VS01,SV98",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
NGC3949,7,1.74,7.07,123.0,169.0,169.0,6.6,119.23351584181354,18.0,data/external/sparc/rotmod_ltg/NGC3949_rotmod.dat,4,18.0,2.5,4,55.0,2.0,38.067,0.28,2.39,1058.84,3.59,185.71,3.371,13.72,163.0,7.1,2,"VS01,SV98",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
NGC3953,8,3.5,15.68,181.0,224.0,215.0,6.1,159.16726673534353,18.0,data/external/sparc/rotmod_ltg/NGC3953_rotmod.dat,4,18.0,2.5,4,62.0,1.0,141.301,0.521,6.17,587.26,4.89,1999.08,2.832,17.38,220.8,6.1,1,"VS01,SV98",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
NGC3972,10,0.87,8.72,39.6,134.0,134.0,4.9,71.93058424620224,18.0,data/external/sparc/rotmod_ltg/NGC3972_rotmod.dat,4,18.0,2.5,4,77.0,1.0,14.353,0.172,3.73,164.75,2.18,1587.93,1.214,10.05,132.7,2.9,1,"VS01,SV98",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
NGC3992,9,9.19,46.02,237.0,272.0,237.0,6.2,115.93660573779103,23.7,data/external/sparc/rotmod_ltg/NGC3992_rotmod.dat,4,23.7,2.3,5,56.0,2.0,226.932,0.836,9.99,360.44,4.96,3257.09,16.599,32.75,241.0,5.2,1,"VS01,SV98",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
NGC4010,12,0.87,10.47,39.3,129.0,122.0,5.15,72.16326697150012,18.0,data/external/sparc/rotmod_ltg/NGC4010_rotmod.dat,7,18.0,2.5,4,89.0,1.0,17.193,0.19,6.63,14.75,2.81,2611.14,2.832,17.59,125.8,4.7,2,"VS01,SV98",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
NGC4013,36,5.49,31.01,162.0,198.0,170.0,5.0,79.26638726471643,18.0,data/external/sparc/rotmod_ltg/NGC4013_rotmod.dat,3,18.0,2.5,4,89.0,1.0,79.094,0.364,4.11,746.16,3.53,10205.4,2.967,31.35,172.9,7.1,2,"VS01,SV98",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
NGC4051,7,1.74,12.19,116.0,161.0,153.0,7.4,125.75336397090933,18.0,data/external/sparc/rotmod_ltg/NGC4051_rotmod.dat,4,18.0,2.5,4,49.0,3.0,95.268,0.439,6.87,319.76,4.65,1320.78,2.697,15.13,157.0,5.5,2,"VS01,SV98",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
NGC4068,6,0.21,2.33,4.68,41.9,41.9,2.9450000000000003,25.49560060088799,4.37,data/external/sparc/rotmod_ltg/NGC4068_rotmod.dat,10,4.37,0.22,2,44.0,6.0,0.236,0.005,1.11,30.26,0.59,261.11,0.154,3.18,0.0,0.0,2,Le14,True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
NGC4085,7,0.87,6.2,42.2,136.0,136.0,5.9,101.52710377037258,18.0,data/external/sparc/rotmod_ltg/NGC4085_rotmod.dat,5,18.0,2.5,4,82.0,2.0,21.724,0.2,2.0,856.7,1.65,5021.46,1.349,10.16,131.5,4.8,2,"VS01,SV98",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
NGC4088,12,1.74,21.48,84.9,182.0,174.0,7.1,118.91604265194836,18.0,data/external/sparc/rotmod_ltg/NGC4088_rotmod.dat,4,18.0,2.5,4,69.0,2.0,107.286,0.494,6.1,457.96,2.58,3988.69,8.226,22.25,171.7,6.9,1,"VS01,SV98",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
NGC4100,24,2.61,22.76,120.0,195.0,159.0,6.15,83.998058013266,18.0,data/external/sparc/rotmod_ltg/NGC4100_rotmod.dat,4,18.0,2.5,4,73.0,2.0,59.394,0.328,4.93,388.0,2.15,8970.78,3.102,18.06,158.2,5.0,1,"VS01,SV98",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
NGC4138,7,2.61,18.58,145.0,195.0,150.0,14.7,76.10264975675946,18.0,data/external/sparc/rotmod_ltg/NGC4138_rotmod.dat,0,18.0,2.5,4,53.0,3.0,44.111,0.284,1.91,1909.11,1.51,3952.12,1.483,18.58,147.3,5.9,2,"VS01,SV98",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
NGC4157,17,1.74,29.61,96.4,201.0,185.0,7.3,98.89046288697409,18.0,data/external/sparc/rotmod_ltg/NGC4157_rotmod.dat,3,18.0,2.5,4,82.0,3.0,105.62,0.486,4.44,848.85,2.32,23813.87,8.226,24.09,184.7,7.2,1,"VS01,SV98",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
NGC4183,23,0.87,21.02,47.1,115.0,113.0,5.3,49.931262251218925,18.0,data/external/sparc/rotmod_ltg/NGC4183_rotmod.dat,6,18.0,2.5,4,82.0,2.0,10.838,0.15,4.47,86.46,2.79,1098.58,3.506,16.07,110.6,5.4,1,"VS01,SV98",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
NGC4214,14,0.21,5.63,55.5,80.6,80.6,6.465,25.508681855399743,2.87,data/external/sparc/rotmod_ltg/NGC4214_rotmod.dat,10,2.87,0.14,2,15.0,10.0,1.141,0.008,0.7,363.77,0.51,1308.67,0.486,5.84,80.1,5.8,2,Le14,True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
NGC4217,19,0.87,16.72,47.8,191.0,178.0,6.65,111.19548439572536,18.0,data/external/sparc/rotmod_ltg/NGC4217_rotmod.dat,3,18.0,2.5,4,86.0,2.0,85.299,0.393,5.28,483.98,2.94,4373.51,2.562,16.7,181.3,7.2,1,"VS01,SV98",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
NGC4389,6,0.87,5.32,27.3,110.0,110.0,6.550000000000001,101.57139951777764,18.0,data/external/sparc/rotmod_ltg/NGC4389_rotmod.dat,4,18.0,2.5,4,50.0,4.0,21.328,0.216,4.05,207.41,2.79,322.72,0.539,6.81,0.0,0.0,3,"VS01,SV98",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
NGC4559,32,0.67,20.97,43.8,124.0,119.0,5.235,69.27093510268215,9.0,data/external/sparc/rotmod_ltg/NGC4559_rotmod.dat,6,9.0,2.7,1,67.0,1.0,19.377,0.107,3.82,211.27,2.1,1602.62,5.811,21.16,121.2,5.1,1,Ba05,True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
NGC5005,18,0.49,11.47,211.0,265.0,265.0,22.25,197.57548291728912,16.9,data/external/sparc/rotmod_ltg/NGC5005_rotmod.dat,4,16.9,1.5,5,68.0,2.0,178.72,0.494,3.97,1789.91,9.45,96.57,1.28,10.41,262.2,20.7,1,Ri15,True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
NGC5033,22,0.76,44.59,191.0,225.0,196.0,3.0,85.75915840305338,15.7,data/external/sparc/rotmod_ltg/NGC5033_rotmod.dat,5,15.7,4.7,1,66.0,1.0,110.509,0.407,2.94,2036.24,5.16,614.94,11.314,29.53,194.2,3.6,1,"Sa96,Be87",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
NGC5055,28,0.72,54.59,125.0,206.0,172.0,2.215,87.85020660191984,9.9,data/external/sparc/rotmod_ltg/NGC5055_rotmod.dat,4,9.9,0.3,2,55.0,6.0,152.922,0.282,4.18,1383.02,3.2,3348.34,11.722,35.06,179.0,4.9,1,"Ba06,Bl04",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
NGC5371,19,1.45,46.24,207.0,242.0,213.0,3.0,136.5144569267299,39.7,data/external/sparc/rotmod_ltg/NGC5371_rotmod.dat,4,39.7,9.92,1,53.0,2.0,340.393,1.881,9.8,560.83,7.44,1395.82,11.18,30.03,209.5,3.9,1,"Sa96,Be87",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
NGC5585,24,0.09,10.96,11.2,92.3,89.4,2.3200000000000003,40.78305530486896,7.06,data/external/sparc/rotmod_ltg/NGC5585_rotmod.dat,7,7.06,2.12,1,51.0,2.0,2.943,0.033,2.27,90.54,1.53,297.05,1.683,10.92,90.3,2.4,1,"Bl99,Sa96,Co91",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
NGC5907,19,5.03,50.33,211.0,235.0,214.0,3.0,109.03524246774525,17.3,data/external/sparc/rotmod_ltg/NGC5907_rotmod.dat,5,17.3,0.9,2,88.0,2.0,175.425,0.646,7.88,449.6,5.34,8646.29,21.025,0.0,215.0,2.9,1,"Sa96,SA87",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
NGC5985,33,3.54,34.72,223.0,305.0,285.0,5.32,138.40029895198927,39.7,data/external/sparc/rotmod_ltg/NGC5985_rotmod.dat,3,39.7,9.9,1,60.0,2.0,208.728,1.538,10.71,288.95,7.01,1461.61,11.586,39.5,293.6,8.6,1,"Bl04,Br92",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
NGC6015,44,0.34,29.23,35.5,166.0,152.0,3.3499999999999996,62.49347805971435,17.0,data/external/sparc/rotmod_ltg/NGC6015_rotmod.dat,6,17.0,5.1,1,60.0,2.0,32.129,0.237,3.92,331.76,2.3,1926.77,5.834,21.43,154.1,7.0,2,VM97,True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
NGC6195,23,1.33,36.43,175.0,258.0,246.0,6.51,166.58487866550195,127.8,data/external/sparc/rotmod_ltg/NGC6195_rotmod.dat,3,127.8,12.8,1,62.0,5.0,391.076,6.123,9.52,686.8,13.94,174.11,20.907,40.89,251.7,9.3,1,SG06,True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
NGC6503,31,0.76,23.5,77.0,121.0,115.0,2.0,42.8770760430326,6.26,data/external/sparc/rotmod_ltg/NGC6503_rotmod.dat,6,6.26,0.31,2,74.0,2.0,12.845,0.059,1.62,774.16,2.16,398.87,1.744,14.05,116.3,2.4,1,"Be91,Be87",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
NGC6674,15,2.5,72.41,206.0,291.0,242.0,2.0,92.69898462227081,51.2,data/external/sparc/rotmod_ltg/NGC6674_rotmod.dat,3,51.2,10.2,1,54.0,6.0,214.654,1.977,7.75,560.83,6.04,1370.35,32.165,50.02,241.3,4.9,1,"Sa96,Br92",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
NGC6789,4,0.1,0.71,13.9,60.4,60.4,4.01,19.215497651635257,3.52,data/external/sparc/rotmod_ltg/NGC6789_rotmod.dat,11,3.52,0.18,2,43.0,7.0,0.1,0.003,0.52,59.27,0.31,319.76,0.017,0.97,0.0,0.0,2,Le14,True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
NGC6946,58,0.19,20.4,128.0,181.0,154.0,5.0,93.37721510090135,5.52,data/external/sparc/rotmod_ltg/NGC6946_rotmod.dat,6,5.52,1.66,2,38.0,2.0,66.173,0.122,4.2,571.26,2.44,2232.7,5.67,21.25,158.9,10.9,1,Bo08,True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
NGC7331,36,2.67,36.31,221.0,257.0,238.0,5.0,134.49699308906503,14.7,data/external/sparc/rotmod_ltg/NGC7331_rotmod.dat,3,14.7,1.5,3,75.0,2.0,250.631,0.693,3.99,2470.76,5.02,1806.47,11.067,27.01,239.0,5.4,1,"Be91,Be87",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
NGC7793,46,0.11,7.87,9.1,116.0,90.8,6.800000000000001,56.55337390465753,3.61,data/external/sparc/rotmod_ltg/NGC7793_rotmod.dat,7,3.61,0.18,2,47.0,9.0,7.05,0.026,2.19,233.79,1.21,1068.64,0.861,7.35,0.0,0.0,1,"Di08,Sa96,CP90",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
NGC7814,18,0.63,19.53,214.0,265.0,214.0,4.825,95.22683917887855,14.4,data/external/sparc/rotmod_ltg/NGC7814_rotmod.dat,2,14.4,0.66,2,90.0,1.0,74.529,0.343,2.08,2709.13,2.54,2635.3,1.07,12.15,218.9,7.0,1,Fr11,True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
PGC51017,6,0.33,3.63,18.2,20.5,18.3,1.8599999999999999,17.51470810490429,13.6,data/external/sparc/rotmod_ltg/PGC51017_rotmod.dat,11,13.6,1.4,2,66.0,3.0,0.155,0.014,1.28,15.03,0.53,93.94,0.201,4.29,18.6,1.3,3,Le14,True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
UGC00128,22,1.25,53.75,34.1,134.0,125.0,1.25,41.48112100703162,64.5,data/external/sparc/rotmod_ltg/UGC00128_rotmod.dat,8,64.5,9.7,1,57.0,10.0,12.02,0.565,9.63,20.36,5.95,88.89,7.431,31.27,129.3,2.8,1,"VB99,VH93",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
UGC00191,9,0.62,9.98,29.9,83.85,83.85,1.87,40.58472865500027,17.1,data/external/sparc/rotmod_ltg/UGC00191_rotmod.dat,9,17.1,5.1,1,45.0,5.0,2.004,0.063,2.5,50.21,1.58,207.41,1.343,10.03,0.0,0.0,1,"KN08,vZ97",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
UGC00634,4,4.51,18.01,69.75,108.0,107.5,1.9749999999999999,41.41729228233058,30.9,data/external/sparc/rotmod_ltg/UGC00634_rotmod.dat,9,30.9,7.7,1,37.0,8.0,2.989,0.146,4.26,26.11,2.45,126.13,3.663,16.78,0.0,0.0,2,vZ97,True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
UGC00731,12,0.91,10.91,29.6,74.0,73.9,2.755,36.88315265809039,12.5,data/external/sparc/rotmod_ltg/UGC00731_rotmod.dat,10,12.5,3.75,1,57.0,3.0,0.323,0.019,1.4,25.63,2.3,82.57,1.807,11.57,73.3,2.3,1,"Sw09,Sw02",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
UGC00891,5,1.48,7.39,24.35,63.75,63.75,0.95,24.051213067119917,10.2,data/external/sparc/rotmod_ltg/UGC00891_rotmod.dat,9,10.2,3.1,1,60.0,5.0,0.374,0.017,1.76,19.09,1.43,113.98,0.428,6.23,0.0,0.0,2,vZ97,True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
UGC01230,11,0.78,36.54,19.8,113.0,103.0,10.7,45.33952028859591,53.7,data/external/sparc/rotmod_ltg/UGC01230_rotmod.dat,9,53.7,10.7,1,22.0,10.0,7.62,0.379,6.45,28.63,4.34,69.32,6.43,26.29,103.7,6.1,1,"dB02,VdH93",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
UGC01281,25,0.08,4.99,1.41,56.9,56.9,4.0,24.182184558058438,5.27,data/external/sparc/rotmod_ltg/UGC01281_rotmod.dat,8,5.27,0.24,2,90.0,1.0,0.353,0.009,2.01,13.83,1.63,135.78,0.294,5.26,55.2,3.5,1,"dB02,Sw02",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
UGC02023,5,0.76,3.78,15.1,58.8,58.8,8.69,32.36389423416162,10.4,data/external/sparc/rotmod_ltg/UGC02023_rotmod.dat,10,10.4,3.1,1,19.0,10.0,1.308,0.033,2.73,27.59,1.55,121.57,0.477,6.5,0.0,0.0,2,"Sw09,Sw02",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
UGC02259,8,1.02,8.14,56.1,90.0,90.0,1.9,34.980692531738136,10.5,data/external/sparc/rotmod_ltg/UGC02259_rotmod.dat,8,10.5,3.1,1,41.0,3.0,1.725,0.038,2.4,47.08,1.62,172.52,0.494,7.28,86.2,2.9,2,"Be91,Ca88",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
UGC02455,8,0.5,4.03,16.9,61.0,61.0,3.64,54.903905598782316,6.92,data/external/sparc/rotmod_ltg/UGC02455_rotmod.dat,10,6.92,2.08,1,51.0,5.0,3.649,0.034,1.49,254.0,0.99,795.85,0.803,7.11,0.0,0.0,3,"Sw09,Sw02",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
UGC02487,17,9.93,80.38,329.0,383.0,333.0,4.0,124.57607173931919,69.1,data/external/sparc/rotmod_ltg/UGC02487_rotmod.dat,0,69.1,10.4,1,36.0,5.0,489.955,4.061,9.63,818.14,7.89,1150.35,17.963,40.2,332.0,3.5,1,"No07,No05",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
UGC02885,19,1.7,74.07,256.0,305.0,298.0,10.0,143.37857057454576,80.6,data/external/sparc/rotmod_ltg/UGC02885_rotmod.dat,5,80.6,8.06,1,64.0,4.0,403.525,4.088,12.2,421.53,11.4,470.79,40.075,74.24,289.5,12.0,1,"Sa96,RA85",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
UGC02916,43,0.37,38.0,181.0,218.0,181.0,5.02,112.56358469771652,65.4,data/external/sparc/rotmod_ltg/UGC02916_rotmod.dat,2,65.4,9.8,1,50.0,5.0,124.153,1.83,2.8,2425.66,6.15,520.99,23.273,34.24,182.7,6.9,2,"No07,No05",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
UGC02953,115,0.09,62.39,231.0,319.0,272.0,4.92,100.10481332083889,16.5,data/external/sparc/rotmod_ltg/UGC02953_rotmod.dat,2,16.5,4.95,1,50.0,4.0,259.518,0.717,5.03,1544.65,3.55,4215.31,7.678,24.0,264.9,6.0,2,"No07,No05",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
UGC03205,48,0.28,40.04,107.0,237.0,220.0,6.87,90.19478698904942,50.0,data/external/sparc/rotmod_ltg/UGC03205_rotmod.dat,2,50.0,10.0,1,67.0,4.0,113.642,1.361,5.35,587.26,3.19,3915.89,9.677,28.6,219.6,8.6,1,"No07,No05",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
